block,plant,plot_num,A,B,C,D,flag_edited,A_,B_,C_,D_
6,4,3,H_H,CT_S,CT_S,CT_S,,H_H,WE,CT,CT
5,34,1,H_H,O_S,H_H,H_H,,H_H,WE,H_H,H_H
5,41,4,H_H,O_S,H_H,H_H,,H_H,WE,H_H,H_H
6,32,5,H_H,O_S,H_H,H_H,,H_H,WE,H_H,H_H
5,1,5,H_H,SB_S,SB_S,SB_S,,H_H,WE,SB,SB
5,31,5,H_H,SB_S,SB_S,SB_S,,H_H,WE,SB,SB
5,41,6,H_H,SB_S,SB_S,SB_S,,H_H,WE,SB,SB
6,9,4,H_H,V_S,V_S,V_S,,H_H,WE,V,V
4,18,4,H_H,O_S,O_S,O_D,,H_H,WE,WE,D
5,31,6,H_H,O_S,O_S,O_D,,H_H,WE,WE,D
3,26,3,H_H,O_S,O_S,O_S,,H_H,WE,WE,WE
4,22,4,H_H,O_S,O_S,O_S,,H_H,WE,WE,WE
5,9,6,H_H,O_S,O_S,O_S,,H_H,WE,WE,WE
5,27,6,H_H,O_S,O_S,O_S,,H_H,WE,WE,WE
6,20,6,H_H,O_S,O_S,O_S,,H_H,WE,WE,WE
1,14,4,O_S,CT_S,CT_S,CT_S,,R,CT,CT,CT
4,6,3,O_S,H_H,CT_S,CT_S,,R,H_H,CT,WE
4,36,3,O_S,H_H,H_H,H_H,,R,H_H,H_H,H_H
1,4,4,O_S,O_S,CT_S,CT_S,,R,R,CT,CT
1,3,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,5,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,6,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,7,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,8,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,9,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,11,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,12,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,13,4,O_S,O_S,H_H,H_H,,R,R,H_H,H_H
1,24,4,CT_S,CT_S,CT_S,CT_S,,S,CT,CT,CT
1,30,5,O_S,O_D,O_D,O_D,,S,D,D,D
2,44,5,O_S,O_D,O_D,O_D,,S,D,D,D
3,33,4,O_S,O_D,O_D,O_D,,S,D,D,D
4,38,4,O_S,O_S,O_S,O_S,,S,H,H,H
3,25,4,O_S,H_H,H_H,H_H,,S,H_H,H_H,H_H
3,28,4,O_S,H_H,H_H,H_H,,S,H_H,H_H,H_H
3,41,4,O_S,H_H,H_H,H_H,,S,H_H,H_H,H_H
3,46,2,O_S,H_H,H_H,H_H,,S,H_H,H_H,H_H
3,43,4,O_S,H_H,SB_S,SB_D,,S,H_H,SB,D
3,2,5,V_S,V_S,V_S,V_S,,S,H_H,V,V
3,17,5,V_S,V_S,V_S,V_S,,S,H_H,V,V
2,45,5,O_S,O_S,O_S,O_S,,S,H_H,WE,WE
5,16,6,O_S,O_S,O_D,O_D,,S,S,D,D
3,23,5,O_S,O_S,H_H,H_H,,S,S,H_H,H_H
3,24,5,O_S,O_S,H_H,H_H,,S,S,H_H,H_H
2,41,5,O_S,O_S,O_S,H_H,,S,S,S,H_H
3,25,5,V_S,V_S,V_S,V_S,,S,S,V,V
6,9,3,O_S,O_S,O_D,O_D,,S,WE,D,D
5,1,6,SB_S,SB_S,SB_S,SB_S,,SB,SB,WE,WE
